 stage   name      force      lambda0     lambda1  dA/dlambda 
  20       7      0.0000      0.9500      1.0000     -8.5936 
  20       8      0.0000      0.9500      1.0000     -3.0148 
  20       9      0.0000      0.9500      1.0000     -5.3852 
  20      10      0.0000      0.9500      1.0000     -3.1219 
  20      11      0.0000      0.9500      1.0000     -4.9106 
  20      12      0.0000      0.9500      1.0000     -6.4706 
  20      13      0.0000      0.9500      1.0000     -4.1792 
  20      15      0.0000      0.9500      1.0000     -2.9527 
  20      16      0.0000      0.9500      1.0000    -13.3589 
  20      17      0.0000      0.9500      1.0000     -9.8154 
  20      18      0.0000      0.9500      1.0000     -5.7259 
  20      19      0.0000      0.9500      1.0000     -6.7573 
  20      20      0.0000      0.9500      1.0000     -2.4029 
  20      21      0.0000      0.9500      1.0000     -3.1614 
  20      22      0.0000      0.9500      1.0000     -1.9816 

 deltaA:  -587.9559
